,party,votes,eligible_count,blank,invalid,total_valid,total_casted,time_stamp,address,names,refs,links,year
2,Det Konservative Folkeparti,14,385,4,3,340,347,2011-09-16 12:09:56,Søllested Forsamlingshus                    Søllestedvej 16                    5620 Glamsbjerg,Søllested,F604420010.htm,https://www.kmdvalg.dk/fv/2011/F604420010.htm,2011
3,SF - Socialistisk Folkeparti,36,385,4,3,340,347,2011-09-16 12:09:56,Søllested Forsamlingshus                    Søllestedvej 16                    5620 Glamsbjerg,Søllested,F604420010.htm,https://www.kmdvalg.dk/fv/2011/F604420010.htm,2011
4,Liberal Alliance,11,385,4,3,340,347,2011-09-16 12:09:56,Søllested Forsamlingshus                    Søllestedvej 16                    5620 Glamsbjerg,Søllested,F604420010.htm,https://www.kmdvalg.dk/fv/2011/F604420010.htm,2011
5,Kristendemokraterne,5,385,4,3,340,347,2011-09-16 12:09:56,Søllested Forsamlingshus                    Søllestedvej 16                    5620 Glamsbjerg,Søllested,F604420010.htm,https://www.kmdvalg.dk/fv/2011/F604420010.htm,2011
6,Dansk Folkeparti,49,385,4,3,340,347,2011-09-16 12:09:56,Søllested Forsamlingshus                    Søllestedvej 16                    5620 Glamsbjerg,Søllested,F604420010.htm,https://www.kmdvalg.dk/fv/2011/F604420010.htm,2011
7,"Venstre, Danmarks Liberale Parti",73,385,4,3,340,347,2011-09-16 12:09:56,Søllested Forsamlingshus                    Søllestedvej 16                    5620 Glamsbjerg,Søllested,F604420010.htm,https://www.kmdvalg.dk/fv/2011/F604420010.htm,2011
8,Enhedslisten - De Rød-Grønne,21,385,4,3,340,347,2011-09-16 12:09:56,Søllested Forsamlingshus                    Søllestedvej 16                    5620 Glamsbjerg,Søllested,F604420010.htm,https://www.kmdvalg.dk/fv/2011/F604420010.htm,2011
9,Michael Ellegaard,0,385,4,3,340,347,2011-09-16 12:09:56,Søllested Forsamlingshus                    Søllestedvej 16                    5620 Glamsbjerg,Søllested,F604420010.htm,https://www.kmdvalg.dk/fv/2011/F604420010.htm,2011
10,Lars Grønbæk Larsen,0,385,4,3,340,347,2011-09-16 12:09:56,Søllested Forsamlingshus                    Søllestedvej 16                    5620 Glamsbjerg,Søllested,F604420010.htm,https://www.kmdvalg.dk/fv/2011/F604420010.htm,2011
0,Socialdemokratiet,103,423,1,1,361,363,2011-09-16 12:18:16,Ørsted Forsamlingshus                    Præstegyden 26                    5620 Glamsbjerg,Ørsted,F604420011.htm,https://www.kmdvalg.dk/fv/2011/F604420011.htm,2011
1,Radikale Venstre,24,423,1,1,361,363,2011-09-16 12:18:16,Ørsted Forsamlingshus                    Præstegyden 26                    5620 Glamsbjerg,Ørsted,F604420011.htm,https://www.kmdvalg.dk/fv/2011/F604420011.htm,2011
2,Det Konservative Folkeparti,17,423,1,1,361,363,2011-09-16 12:18:16,Ørsted Forsamlingshus                    Præstegyden 26                    5620 Glamsbjerg,Ørsted,F604420011.htm,https://www.kmdvalg.dk/fv/2011/F604420011.htm,2011
3,SF - Socialistisk Folkeparti,29,423,1,1,361,363,2011-09-16 12:18:16,Ørsted Forsamlingshus                    Præstegyden 26                    5620 Glamsbjerg,Ørsted,F604420011.htm,https://www.kmdvalg.dk/fv/2011/F604420011.htm,2011
4,Liberal Alliance,8,423,1,1,361,363,2011-09-16 12:18:16,Ørsted Forsamlingshus                    Præstegyden 26                    5620 Glamsbjerg,Ørsted,F604420011.htm,https://www.kmdvalg.dk/fv/2011/F604420011.htm,2011
5,Kristendemokraterne,0,423,1,1,361,363,2011-09-16 12:18:16,Ørsted Forsamlingshus                    Præstegyden 26                    5620 Glamsbjerg,Ørsted,F604420011.htm,https://www.kmdvalg.dk/fv/2011/F604420011.htm,2011
6,Dansk Folkeparti,54,423,1,1,361,363,2011-09-16 12:18:16,Ørsted Forsamlingshus                    Præstegyden 26                    5620 Glamsbjerg,Ørsted,F604420011.htm,https://www.kmdvalg.dk/fv/2011/F604420011.htm,2011
