,institutionsnummer,karakter,soc_ref,beliggenhedskommunenr,lat,lon,postnr,navn,institutionstype2,institutionstype3,coordinates,postnavn,komnavn,year,salgspris,disindk,langledig,kriminelitet,lavindk,skilsmisser,andel_indv
1077,809005,7.0,6.8,820,56.8380616154399,9.35961058474479,9640,Vester Hornum Skole,Grundskoler,Folkeskoler,"(56.8380616154399, 9.35961058474479)",Farsø,Vesthimmerlands Kommune,2011,5944.0,177831,1.3166666666666667,3.3,17.4,11.9,2.4909264312395685
1078,811001,6.8,6.4,849,57.0896734540191,9.263727504364118,9690,Fjerritslev Skole,Grundskoler,Folkeskoler,"(57.0896734540191, 9.263727504364118)",Fjerritslev,Jammerbugt Kommune,2011,5215.0,185213,1.2916666666666665,3.1,16.5,12.6,2.1758505773851042
1079,811300,5.9,6.1,849,57.0587519175731,9.2788091947982,9690,Han Herred Efterskole,Efterskoler,Efterskoler,"(57.0587519175731, 9.2788091947982)",Fjerritslev,Jammerbugt Kommune,2011,5215.0,185213,1.2916666666666665,3.1,16.5,12.6,2.1758505773851042
1080,813010,7.1,6.8,813,57.4354719410597,10.511842805205301,9900,Privatskolen i Frederikshavn,Grundskoler,Friskoler og private grundskoler,"(57.4354719410597, 10.511842805205301)",Frederikshavn,Frederikshavn Kommune,2011,7775.0,185770,1.8416666666666668,3.3,14.8,13.1,2.605485789552852
1081,815001,7.1,6.5,846,56.756507135590105,10.287787165630599,9560,Havbakkeskolen,Grundskoler,Folkeskoler,"(56.756507135590105, 10.287787165630599)",Hadsund,Mariagerfjord Kommune,2011,6617.0,184920,1.3333333333333333,3.4,15.7,13.0,2.7944510354386667
1082,815002,7.2,6.6,846,56.7239761850664,10.1349062457888,9560,Hadsund Skole,Grundskoler,Folkeskoler,"(56.7239761850664, 10.1349062457888)",Hadsund,Mariagerfjord Kommune,2011,6617.0,184920,1.3333333333333333,3.4,15.7,13.0,2.7944510354386667
1083,817001,5.5,5.8,851,57.055893414209,10.178108695189401,9362,Gandrup Skole,Grundskoler,Folkeskoler,"(57.055893414209, 10.178108695189401)",Gandrup,Aalborg Kommune,2011,,187797,1.491666666666667,4.4,16.6,12.1,5.097634247089748
1084,817002,5.5,5.9,851,57.0000110283263,10.3099602733715,9370,Hals Skole,Grundskoler,Folkeskoler,"(57.0000110283263, 10.3099602733715)",Hals,Aalborg Kommune,2011,7661.0,187797,1.491666666666667,4.4,16.6,12.1,5.097634247089748
1085,817005,6.9,6.7,851,57.0724075925447,10.115413740623,9310,Vester Hassing Skole,Grundskoler,Folkeskoler,"(57.0724075925447, 10.115413740623)",Vodskov,Aalborg Kommune,2011,10268.0,187797,1.491666666666667,4.4,16.6,12.1,5.097634247089748
1086,851042,6.4,6.7,851,57.108649201041096,10.0252802808141,9310,Vodskov Skole,Grundskoler,Folkeskoler,"(57.108649201041096, 10.0252802808141)",Vodskov,Aalborg Kommune,2011,10268.0,187797,1.491666666666667,4.4,16.6,12.1,5.097634247089748
